org.eclipse.swt.accessibility.ACC.java	acc 
org.eclipse.swt.custom.BidiSegmentListener.java	bidisegmentlisten linegetseg 
org.eclipse.swt.custom.BusyIndicator.java	busyind showwhil 
org.eclipse.swt.custom.CBanner.java	cbanner cbanner bezier checkstyl getbottom getclientarea getleft getright getrightminimums getrightwidth getsimpl ondispos onmousedown onmouseexit onmousemov onmouseup onpaint onres setbottom setlayout setleft setright setrightminimums setrightwidth setsimpl updatecurv 
org.eclipse.swt.custom.CBannerLayout.java	cbannerlayout computes computechilds computetrim flushcach layout 
org.eclipse.swt.custom.CCombo.java	ccombo ccombo checkstyl add add addmodifylisten addselectionlisten arrowev clearselect comboev computes createpopup deselect deselectal dropdown getassociatedlabel getchildren getedit getitem getitemcount getitemheight getitem getmnemon getselect getselectionindex getstyl gettext gettextheight gettextlimit getvisibleitemcount handlefocu indexof indexof initaccess isdrop isfocuscontrol internallayout listev popupev redraw redraw remov remov remov removeal removemodifylisten removeselectionlisten select setbackground setedit seten setfocu setfont setforeground setitem setitem setlayout setselect settext settextlimit settooltiptext setvis setvisibleitemcount stripmnemon textev 
org.eclipse.swt.custom.CLabel.java	clabel clabel checkstyl computes drawbevelrect _findmnemon getalign getimag gettotals getstyl gettext gettooltiptext initaccess ondispos onmnemon onpaint paintbord setalign setbackground setbackground setbackground setbackground setfont setimag settext settooltiptext shortentext splitstr 
org.eclipse.swt.custom.CLayoutData.java	clayoutdata computes flushcach 
org.eclipse.swt.custom.ControlEditor.java	controleditor controleditor computebound dispos geteditor layout resiz scroll seteditor 
org.eclipse.swt.custom.CTabFolder.java	ctabfold ctabfold checkstyl fillregion addctabfolder2listen addctabfolderlisten addselectionlisten antialia computetrim createitem destroyitem drawbackground drawbackground drawbodi drawchevron drawmaxim drawminim drawtabarea getbordervis getclientarea getitem getitem getitemcount getitem _findmnemon getminim getminimizevis getminimumcharact getmaxim getmaximizevis getmruvis getrightitemedg getselect getselectionbackground getselectionforeground getselectionindex getsimpl getsingl getstyl gettabheight gettabposit gettopright getunselectedclosevis getunselectedimagevis indexof initaccess onkeydown ondispos ondragdetect onfocu onmnemon onmousedoubleclick onmousehov onmous onpagetravers onpaint onres ontravers redrawtab removectabfolder2listen removectabfolderlisten removeselectionlisten setbackground setbackground setbackground setbackground setbordervis setbuttonbound setfont setforeground setinsertmark setinsertmark setitemloc setitems setmaximizevis setlayout setmaxim setminimizevis setminim setminimumcharact setmruvis setselect setselect setselect setselectionbackground setselectionbackground setselectionbackground setselectionbackground setselectionforeground setsimpl setsingl settabheight settabposit settopright settopright setunselectedclosevis setunselectedimagevis showitem showlist showselect hidetooltip showtooltip updateitem updateitem updatetabheight _gettooltip updatetooltip 
org.eclipse.swt.custom.CTabFolder2Adapter.java	ctabfolder2adapt close minim maxim restor showlist 
org.eclipse.swt.custom.CTabFolder2Listener.java	ctabfolder2listen close minim maxim restor showlist 
org.eclipse.swt.custom.CTabFolderAdapter.java	ctabfolderadapt itemclos 
org.eclipse.swt.custom.CTabFolderEvent.java	ctabfolderev ctabfolderev tostr 
org.eclipse.swt.custom.CTabFolderLayout.java	ctabfolderlayout computes flushcach layout 
org.eclipse.swt.custom.CTabFolderListener.java	ctabfolderlisten itemclos 
org.eclipse.swt.custom.CTabItem.java	ctabitem ctabitem ctabitem checkstyl shortentext dispos drawclos drawselect drawunselect getbound getcontrol getdisabledimag getfont getpar gettooltiptext isshow onpaint preferredheight preferredwidth setcontrol setdisabledimag setfont setimag settext settooltiptext 
org.eclipse.swt.custom.DefaultContent.java	defaultcont defaultcont addlineindex addlineindex addtextchangelisten adjustgap indexlin isdelimit isvalidreplac indexlin insert moveandresizegap linecount linecount getcharcount getlin getlinedelimit getfulllin getphysicallin getlinecount getlineatoffset getlineatphysicaloffset getoffsetatlin expandlinesbi error gapexist getphysicaltext gettextrang removetextchangelisten replacetextrang sendtextev settext delet 
org.eclipse.swt.custom.DefaultLineStyler.java	defaultlinestyl defaultlinestyl insertstyl insertstyl insertmergestyl mergestylebefor mergestyleaft clearstyl expandlinesbi deletestyl deletestyl getstylerang linegetbackground linegetstyl searchforstyl setlinebackground setstylerang replacestylerang setstylerang textchang lineschang textchang getoverlappingstyl getlinebackground getstylerangeatoffset getstylerangesfor releas 
org.eclipse.swt.custom.DisplayRenderer.java	displayrender displayrender dispos disposegc drawlinebreakselect getbidiseg getclientarea getcont getgc gethorizontalpixel getleftmargin getlinebackgrounddata getlinestyledata getorient getrightmargin getselectionbackground getselectionforeground getselect getwordwrap isfulllineselect createtextlayout disposetextlayout updatetopindex 
org.eclipse.swt.custom.ExtendedModifyEvent.java	extendedmodifyev extendedmodifyev 
org.eclipse.swt.custom.ExtendedModifyListener.java	extendedmodifylisten modifytext 
org.eclipse.swt.custom.LineBackgroundEvent.java	linebackgroundev linebackgroundev 
org.eclipse.swt.custom.LineBackgroundListener.java	linebackgroundlisten linegetbackground 
org.eclipse.swt.custom.LineStyleEvent.java	linestyleev linestyleev 
org.eclipse.swt.custom.LineStyleListener.java	linestylelisten linegetstyl 
org.eclipse.swt.custom.PopupList.java	popuplist popuplist popuplist checkstyl getfont getitem getminimumwidth open select setfont setitem setminimumwidth 
org.eclipse.swt.custom.PrintRenderer.java	printrender printrender dispos disposegc drawlinebreakselect getbidiseg getclientarea getcont getgc gethorizontalpixel getlogicallineoffset getorient getselectionbackground getselectionforeground getlinebackgrounddata getlinestyledata getselect getwordwrap isfulllineselect 
org.eclipse.swt.custom.SashForm.java	sashform sashform checkstyl getorient getstyl getmaximizedcontrol getweight getcontrol ondragsash setorient setbackground setforeground setlayout setmaximizedcontrol setweight 
org.eclipse.swt.custom.SashFormData.java	sashformdata getnam tostr 
org.eclipse.swt.custom.SashFormLayout.java	sashformlayout computes flushcach layout 
org.eclipse.swt.custom.ScrolledComposite.java	scrolledcomposit scrolledcomposit checkstyl getalwaysshowscrollbar getcont hscroll needhscrol needvscrol getorigin setorigin setorigin setalwaysshowscrollbar setcont setexpandhorizont setexpandvert setlayout setminheight setmins setmins setminwidth vscroll 
org.eclipse.swt.custom.ScrolledCompositeLayout.java	scrolledcompositelayout computes flushcach layout 
org.eclipse.swt.custom.ST.java	st 
org.eclipse.swt.custom.StackLayout.java	stacklayout computes flushcach layout getnam tostr 
org.eclipse.swt.custom.StyledText.java	styledtext styledtext addextendedmodifylisten setkeybind addbidisegmentlisten addlinebackgroundlisten addlinestylelisten addmodifylisten addselectionlisten addverifykeylisten addverifylisten append calculatecontentwidth calculatescrollbar calculatetopindex checkstyl claimbottomfreespac claimrightfreespac clearmargin clearselect computes copi copi getmodeldelimitedtext createkeybind createcaretbitmap cut doautoscrol doautoscrol dobackspac docont docontentend docontentstart docursorprevi docursornext dodelet dodeletewordnext dodeletewordprevi dolinedown dolineend dolinestart dolineup domouselocationchang domouseselect domousewordselect dopagedown dopageend dopagestart dopageup doselect doselectioncursornext doselectioncursorprevi doselectionlinedown doselectionlineup doselectionpagedown doselectionpageup doselectionwordnext doselectionwordprevi dovisualprevi dovisualnext dowordnext dowordprevi draw endautoscrol getbackground getbaselin getbidicolor getbottomindex getcaretoffset getoffsetatx getcaretwidth getclipboardcont getclusternext getclusterprevi getcont getdoubleclicken getedit getforeground getgc gethorizontalincr gethorizontalindex gethorizontalpixel getkeybind getcharcount getlinebackground getlinebackgrounddata getlinecount getlinecountwhol getlineatoffset getlinedelimit sendlineev getlineheight getlinecach getlinestyledata getlocationatoffset getoffsetatlin getoffsetatloc getoffsetatmouseloc getorient getpartialbottomindex getplatformdelimitedtext getselect getselectionrang getselectionbackground getselectioncount getselectionforeground getselectiontext getstyl getbidiseg getbidisegmentscompat getstylerangeatoffset getstylerang getstylerang gettab gettext gettext gettextbound gettextrang gettextlimit gettopindex gettoppixel getverticalincr getcaretdirect getcaretlin getwordend getwordendnospac getwordstart getwordwrap getxatoffset insert installdefaultcont installdefaultlinestyl installlisten internalgetcont internalgethorizontalpixel internalgetlinecach internalgetselect internalgetwordwrap internalredraw internalredrawrang getrtf handledispos handlehorizontalscrol handlekei handlekeydown handlekeyup handlemousedoubleclick handlemousedown handlemousemov handlemouseup handlepaint handleres handletextchang handletextchang handletextset handletravers handleverticalscrol initializeaccess initializerender invokeact isbidi islinedelimit ismirror isareavis issinglelin modifycont past performpaint print print print redraw redraw redrawlin redrawlin redrawmultilinechang redrawrang removebidisegmentlisten removeextendedmodifylisten removelinebackgroundlisten removelinestylelisten removemodifylisten removeselectionlisten removeverifylisten removeverifykeylisten replacestylerang replacetextrang reset resetselect scrollhorizont scrollhorizontalbar selectal sendkeyev sendmodifyev sendselectionev setwordwrap setcaret setbackground setbidicolor setcaretloc setcaretloc setcaretoffset setclipboardcont setcont setcursor setdoubleclicken setedit setfont setforeground sethorizontalindex sethorizontalpixel sethorizontalscrollbar setlinebackground setmousewordselectionanchor setorient setscrollbar setselect setselect setselectionbackground setselectionforeground setselect setselectionrang internalsetselect setstylerang setstylerang settab settext settextlimit settopindex settoppixel setverticalscrolloffset showloc showcaret showcaret showoffset showselect isbidicaret updateselect wordwrapres 
org.eclipse.swt.custom.StyledTextContent.java	styledtextcont addtextchangelisten getcharcount getlin getlineatoffset getlinecount getlinedelimit getoffsetatlin gettextrang removetextchangelisten replacetextrang settext 
org.eclipse.swt.custom.StyledTextEvent.java	styledtextev styledtextev 
org.eclipse.swt.custom.StyledTextListener.java	styledtextlisten styledtextlisten handleev 
org.eclipse.swt.custom.StyledTextPrintOptions.java	styledtextprintopt 
org.eclipse.swt.custom.StyledTextRenderer.java	styledtextrender styledtextrender calculatelineheight dispos disposegc drawlin drawlinebreakselect getclientarea getcont getdevic getbaselin getbidiseg getfont getfontdata getgc gethorizontalpixel getleftmargin getlineendspacewidth getlinebackgrounddata getlineheight getlinestyledata getlinestyledata getorient getrightmargin getselectionforeground getselectionbackground getselect getvisuallinestyledata getwordwrap isfulllineselect settablength gettextlayout createtextlayout disposetextlayout 
org.eclipse.swt.custom.StyleRange.java	stylerang stylerang stylerang stylerang equal hashcod isunstyl similarto clone tostr 
org.eclipse.swt.custom.TableCursor.java	tablecursor tablecursor addselectionlisten dispos keydown paint tablefocusin tablemousedown travers setrowcolumn setrowcolumn setvis removeselectionlisten resiz getcolumn getrow setbackground setforeground setselect setselect 
org.eclipse.swt.custom.TableEditor.java	tableeditor tableeditor computebound dispos getcolumn getitem setcolumn setitem seteditor resiz 
org.eclipse.swt.custom.TableTree.java	tabletre tabletre additem addselectionlisten addtreelisten checkstyl computes computetrim deselectal expanditem getbackground getclientarea getforeground getfont getitemcount getitemheight getitem getselect getselectioncount getstyl gettabl createimag getplusimag getminusimag indexof ondispos onres onselect getitem getitem getitem onfocusin onkeydown onmousedown removeal removeitem removeselectionlisten removetreelisten selectal setbackground seten setfont setforeground setmenu setselect settooltiptext showitem showselect 
org.eclipse.swt.custom.TableTreeEditor.java	tabletreeeditor tabletreeeditor computebound dispos getcolumn getitem setcolumn setitem seteditor resiz 
org.eclipse.swt.custom.TableTreeItem.java	tabletreeitem tabletreeitem tabletreeitem tabletreeitem tabletreeitem tabletreeitem addcheck additem getbackground getbound getcheck getgrai getexpand getfont getforeground getimag getimag getind getitem getitemcount getitem getitem getpar getparentitem gettext gettext getvis indexof expandal expandedindexof visiblechildrencount dispos removeitem setbackground setcheck setgrai setexpand setfont setforeground setimag setimag settext settext setvis 
org.eclipse.swt.custom.TextChangedEvent.java	textchangedev textchangedev 
org.eclipse.swt.custom.TextChangeListener.java	textchangelisten textchang textchang textset 
org.eclipse.swt.custom.TextChangingEvent.java	textchangingev textchangingev textchangingev 
org.eclipse.swt.custom.TreeEditor.java	treeeditor treeeditor computebound dispos getcolumn getitem setcolumn setitem seteditor seteditor resiz 
org.eclipse.swt.custom.VerifyKeyListener.java	verifykeylisten verifykei 
org.eclipse.swt.custom.ViewForm.java	viewform viewform checkstyl computetrim getclientarea getcont gettopcent gettopleft gettopright ondispos onpaint onres setcont setlayout setselectionbackground settopcent settopleft settopright setbordervis settopcentersepar 
org.eclipse.swt.custom.ViewFormLayout.java	viewformlayout computes computechilds computetrim flushcach layout 
org.eclipse.swt.custom.WrappedContent.java	wrappedcont wrappedcont addtextchangelisten ensures getcharcount getlin getlineatoffset getlinecount getlinedelimit getoffsetatlin gettextrang getvisuallinecount removetextchangelisten reset reset resetvisuallin replacetextrang settext setvisuallin textchang wraplinerang wraplinerang wraplin wraplin 
org.eclipse.swt.dnd.ByteArrayTransfer.java	bytearraytransf getsupportedtyp issupportedtyp javaton nativetojava checkbytearrai 
org.eclipse.swt.dnd.Clipboard.java	clipboard clipboard checksubclass checkwidget clearcont clearcont dispos getcont getcont isdispos setcont setcont addref createcominterfac disposecominterfac enumformatetc getdata querygetdata queryinterfac releas getavailabletyp getavailabletyp getavailabletypenam _getavailabletyp 
org.eclipse.swt.dnd.DND.java	dnd error error 
org.eclipse.swt.dnd.DNDEvent.java	dndevent 
org.eclipse.swt.dnd.DNDListener.java	dndlisten dndlisten handleev 
org.eclipse.swt.dnd.DragSource.java	dragsourc dragsourc checkstyl adddraglisten addref createcominterfac checksubclass disposecominterfac drag enumformatetc getcontrol getdata gettransf givefeedback querycontinuedrag ondispos optoo ostoop querygetdata queryinterfac releas removedraglisten setdata settransf 
org.eclipse.swt.dnd.DragSourceAdapter.java	dragsourceadapt dragstart dragfinish dragsetdata 
org.eclipse.swt.dnd.DragSourceEvent.java	dragsourceev dragsourceev updateev 
org.eclipse.swt.dnd.DragSourceListener.java	dragsourcelisten dragstart dragsetdata dragfinish 
org.eclipse.swt.dnd.DragUnderEffect.java	dragundereffect show 
org.eclipse.swt.dnd.DropTarget.java	droptarget droptarget checkstyl adddroplisten addref checksubclass createcominterfac disposecominterfac dragent dragleav dragov drop getcontrol getoperationfromkeyst gettransf notifylisten ondispos optoo ostoop queryinterfac releas removedroplisten seteventdata settransf 
org.eclipse.swt.dnd.DropTargetAdapter.java	droptargetadapt dragent dragleav dragoperationchang dragov drop dropaccept 
org.eclipse.swt.dnd.DropTargetEvent.java	droptargetev droptargetev updateev 
org.eclipse.swt.dnd.DropTargetListener.java	droptargetlisten dragent dragleav dragoperationchang dragov drop dropaccept 
org.eclipse.swt.dnd.FileTransfer.java	filetransf filetransf getinst javaton nativetojava gettypeid gettypenam checkfil valid 
org.eclipse.swt.dnd.HTMLTransfer.java	htmltransfer htmltransfer getinst javaton nativetojava gettypeid gettypenam checkhtml valid 
org.eclipse.swt.dnd.NoDragUnderEffect.java	nodragundereffect nodragundereffect show 
org.eclipse.swt.dnd.OleEnumFORMATETC.java	oleenumformatetc oleenumformatetc addref createcominterfac disposecominterfac getaddress getnextitem next queryinterfac releas reset setformat skip 
org.eclipse.swt.dnd.RTFTransfer.java	rtftransfer rtftransfer getinst javaton nativetojava gettypeid gettypenam checkrtf valid 
org.eclipse.swt.dnd.TableDragUnderEffect.java	tabledragundereffect tabledragundereffect checkeffect show 
org.eclipse.swt.dnd.TextTransfer.java	texttransf texttransf getinst javaton nativetojava gettypeid gettypenam checktext valid 
org.eclipse.swt.dnd.Transfer.java	transfer getsupportedtyp issupportedtyp gettypeid gettypenam javaton nativetojava registertyp valid 
org.eclipse.swt.dnd.TransferData.java	transferdata sametyp 
org.eclipse.swt.dnd.TreeDragUnderEffect.java	treedragundereffect treedragundereffect checkeffect show 
org.eclipse.swt.dnd.URLTransfer.java	urltransf urltransf getinst javaton nativetojava gettypeid gettypenam checkurl valid 
org.eclipse.swt.events.ArmEvent.java	armev armev 
org.eclipse.swt.events.ArmListener.java	armlisten widgetarm 
org.eclipse.swt.events.ControlAdapter.java	controladapt controlmov controlres 
org.eclipse.swt.events.ControlEvent.java	controlev controlev 
org.eclipse.swt.events.ControlListener.java	controllisten controlmov controlres 
org.eclipse.swt.events.DisposeEvent.java	disposeev disposeev 
org.eclipse.swt.events.DisposeListener.java	disposelisten widgetdispos 
org.eclipse.swt.events.FocusAdapter.java	focusadapt focusgain focuslost 
org.eclipse.swt.events.FocusEvent.java	focusev focusev 
org.eclipse.swt.events.FocusListener.java	focuslisten focusgain focuslost 
org.eclipse.swt.events.HelpEvent.java	helpev helpev 
org.eclipse.swt.events.HelpListener.java	helplisten helprequest 
org.eclipse.swt.events.KeyAdapter.java	keyadapt keypress keyreleas 
org.eclipse.swt.events.KeyEvent.java	keyev keyev tostr 
org.eclipse.swt.events.KeyListener.java	keylisten keypress keyreleas 
org.eclipse.swt.events.MenuAdapter.java	menuadapt menuhidden menushown 
org.eclipse.swt.events.MenuEvent.java	menuev menuev 
org.eclipse.swt.events.MenuListener.java	menulisten menuhidden menushown 
org.eclipse.swt.events.ModifyEvent.java	modifyev modifyev 
org.eclipse.swt.events.ModifyListener.java	modifylisten modifytext 
org.eclipse.swt.events.MouseAdapter.java	mouseadapt mousedoubleclick mousedown mouseup 
org.eclipse.swt.events.MouseEvent.java	mouseev mouseev tostr 
org.eclipse.swt.events.MouseListener.java	mouselisten mousedoubleclick mousedown mouseup 
org.eclipse.swt.events.MouseMoveListener.java	mousemovelisten mousemov 
org.eclipse.swt.events.MouseTrackAdapter.java	mousetrackadapt mouseent mouseexit mousehov 
org.eclipse.swt.events.MouseTrackListener.java	mousetracklisten mouseent mouseexit mousehov 
org.eclipse.swt.events.PaintEvent.java	paintev paintev tostr 
org.eclipse.swt.events.PaintListener.java	paintlisten paintcontrol 
org.eclipse.swt.events.SelectionAdapter.java	selectionadapt widgetselect widgetdefaultselect 
org.eclipse.swt.events.SelectionEvent.java	selectionev selectionev tostr 
org.eclipse.swt.events.SelectionListener.java	selectionlisten widgetselect widgetdefaultselect 
org.eclipse.swt.events.ShellAdapter.java	shelladapt shellactiv shellclos shelldeactiv shelldeiconifi shelliconifi 
org.eclipse.swt.events.ShellEvent.java	shellev shellev tostr 
org.eclipse.swt.events.ShellListener.java	shelllisten shellactiv shellclos shelldeactiv shelldeiconifi shelliconifi 
org.eclipse.swt.events.TraverseEvent.java	traverseev traverseev tostr 
org.eclipse.swt.events.TraverseListener.java	traverselisten keytravers 
org.eclipse.swt.events.TreeAdapter.java	treeadapt treecollaps treeexpand 
org.eclipse.swt.events.TreeEvent.java	treeevent treeevent 
org.eclipse.swt.events.TreeListener.java	treelisten treecollaps treeexpand 
org.eclipse.swt.events.TypedEvent.java	typedev typedev typedev getnam tostr 
org.eclipse.swt.events.VerifyEvent.java	verifyev verifyev tostr 
org.eclipse.swt.events.VerifyListener.java	verifylisten verifytext 
org.eclipse.swt.graphics.Color.java	color color color color dispos equal getblu getgreen getr getrgb hashcod init isdispos tostr win32_new 
org.eclipse.swt.graphics.Cursor.java	cursor cursor cursor cursor cursor dispos equal hashcod isdispos tostr win32_new 
org.eclipse.swt.graphics.Device.java	devic getdevic devic devic checkdevic checkgdip creat computepixel computepoint destroi dispos dispose_object enumfontfamproc getbound getdevicedata getclientarea getdepth getdpi getfontlist getlasterror getlasterrortext getsystemcolor getsystemfont getwarn init internal_new_gc internal_dispose_gc isdispos new_object releas setwarn 
org.eclipse.swt.graphics.DeviceData.java	devicedata 
org.eclipse.swt.graphics.Drawable.java	drawabl internal_new_gc internal_dispose_gc 
org.eclipse.swt.graphics.Font.java	font font font font font dispos equal getfontdata hashcod init isdispos tostr win32_new 
org.eclipse.swt.graphics.FontData.java	fontdata fontdata fontdata fontdata fontdata equal enumlocalesproc getheight getlocal getnam getstyl hashcod setheight setlocal setnam setstyl tostr win32_new 
org.eclipse.swt.graphics.FontMetrics.java	fontmetr fontmetr equal getasc getaveragecharwidth getdesc getheight getlead hashcod win32_new 
org.eclipse.swt.graphics.GC.java	gc gc gc gc checkstyl copyarea copyarea copyarea creategdipbrush creategdipfont creategdipfont creategdippen destroygdipbrush dispos drawarc drawfocu drawimag drawimag drawimag drawicon drawbitmap drawbitmapalpha drawbitmaptransparentbyclip drawbitmapmask drawbitmaptranspar drawbitmap drawlin drawov drawpath drawpoint drawpolygon drawpolylin drawrectangl drawrectangl drawroundrectangl drawroundrectanglegdip drawstr drawstr drawtext drawtext drawtext equal fillarc fillgradientrectangl fillov fillpath fillpolygon fillrectangl fillrectangl fillroundrectangl fillroundrectanglegdip flush getadvancewidth getadvanc getalpha getantialia getbackground getbackgroundpattern getcharwidth getclip getclip getcodepag getfillrul getfont getfontmetr getforeground getforegroundpattern getinterpol getlinecap getlinedash getlinejoin getlinestyl getlinewidth getstyl gettextantialia gettransform getxormod initgdip init hashcod isclip isdispos measurespac setadvanc setantialia setalpha setbackground setbackgroundpattern setclip setclip setclip setclip setclip setfillrul setfont setforeground setforegroundpattern setinterpol setlinecap setlinedash setlinejoin setlinestyl setlinewidth setpen setxormod settextantialia settransform stringext textext textext tostr win32_new win32_new 
org.eclipse.swt.graphics.GCData.java	gcdata 
org.eclipse.swt.graphics.Image.java	imag imag imag imag imag imag imag imag imag createdibfromddb creategdipimag dispos equal getbackground getbound getimagedata hashcod init createdib geticoninfo init init init internal_new_gc internal_dispose_gc isdispos setbackground tostr win32_new 
org.eclipse.swt.graphics.ImageData.java	imagedata imagedata imagedata imagedata imagedata imagedata imagedata setallfield internal_new colormaskimag checkdata clone getalpha getalpha getpixel getpixel getpixel getrgb gettransparencymask gettransparencytyp getbyteord scaledto setalpha setalpha setpixel setpixel setpixel bwpalett getmsboffset closestmatch convertmask convertpad blit blit blit blit getchannelshift getchannelwidth getchannelfield creategradientband buildprecisegradientchannel buildditheredgradientchannel fillgradientrectangl 
org.eclipse.swt.graphics.ImageDataLoader.java	imagedataload load load 
org.eclipse.swt.graphics.ImageLoader.java	imageload imageload reset load load save save addimageloaderlisten removeimageloaderlisten haslisten notifylisten 
org.eclipse.swt.graphics.ImageLoaderEvent.java	imageloaderev imageloaderev tostr 
org.eclipse.swt.graphics.ImageLoaderListener.java	imageloaderlisten imagedataload 
org.eclipse.swt.graphics.PaletteData.java	palettedata palettedata palettedata getpixel getrgb getrgb shiftformask 
org.eclipse.swt.graphics.Path.java	path path addarc addpath addrectangl addstr close contain cubicto dispos getbound getcurrentpoint getpathdata lineto isdispos moveto quadto tostr 
org.eclipse.swt.graphics.PathData.java	pathdata 
org.eclipse.swt.graphics.Pattern.java	pattern pattern pattern dispos isdispos tostr 
org.eclipse.swt.graphics.Point.java	point point equal hashcod tostr 
org.eclipse.swt.graphics.Rectangle.java	rectangl rectangl add contain contain equal hashcod intersect intersect intersect intersect isempti tostr union 
org.eclipse.swt.graphics.Region.java	region region region region add add add add contain contain dispos equal getbound hashcod intersect intersect intersect intersect intersect isdispos isempti subtract subtract subtract subtract translat translat tostr win32_new 
org.eclipse.swt.graphics.Resource.java	resourc dispos isdispos 
org.eclipse.swt.graphics.RGB.java	rgb rgb equal hashcod tostr 
org.eclipse.swt.graphics.TextLayout.java	textlayout textlayout breakrun checkitem checklayout computerun dispos draw draw freerun getalign getasc getbound getbound getdesc getfont getitemfont getlevel getlinebound getlinecount getlineindex getlinemetr getlineoffset getloc getnextoffset _getoffset getoffset getoffset getorient getpreviousoffset getseg getsegmentstext getspac getstyl gettab gettext getwidth isdispos item merg reorder setalign setasc setdesc setfont setorient setseg setspac setstyl settab settext setwidth shape shape validadeoffset tostr translateoffset untranslateoffset 
org.eclipse.swt.graphics.TextStyle.java	textstyl textstyl equal hashcod tostr 
org.eclipse.swt.graphics.Transform.java	transform transform transform transform checktransform dispos getel invert isdispos isident multipli rotat scale setel transform translat tostr 
org.eclipse.swt.internal.BidiUtil.java	bidiutil addlanguagelisten enumsystemlanguagegroupsproc drawglyph getrenderinfo getorderinfo getfontbidiattribut getkeyboardlanguag getkeyboardlanguagelist isbidiplatform iskeyboardbidi removelanguagelisten setkeyboardlanguag setorient subclass revers revers translateord unsubclass windowproc 
org.eclipse.swt.internal.Callback.java	callback callback callback callback ptr_sizeof bind dispos getaddress getplatform getentrycount getsignatur seten geten ignorecallback reset unbind 
org.eclipse.swt.internal.CloneableCompatibility.java	cloneablecompat 
